parameter_set,key_rep,boundary_index,relative_index,signature_index,sign_ns
XMSSMT-SHA2_20/4_256,PUB_R1,896,4,900,9225796
XMSSMT-SHA2_20/4_256,PUB_R1,928,-4,924,6597093
XMSSMT-SHA2_20/4_256,PUB_R1,928,-3,925,3771222
XMSSMT-SHA2_20/4_256,PUB_R1,928,-2,926,6494315
XMSSMT-SHA2_20/4_256,PUB_R1,928,-1,927,7622723
XMSSMT-SHA2_20/4_256,PUB_R1,928,0,928,6502278
XMSSMT-SHA2_20/4_256,PUB_R1,928,1,929,6539314
XMSSMT-SHA2_20/4_256,PUB_R1,928,2,930,6388278
XMSSMT-SHA2_20/4_256,PUB_R1,928,3,931,9173129
XMSSMT-SHA2_20/4_256,PUB_R1,928,4,932,9254111
XMSSMT-SHA2_20/4_256,PUB_R1,960,-4,956,6501555
XMSSMT-SHA2_20/4_256,PUB_R1,960,-3,957,3771185
XMSSMT-SHA2_20/4_256,PUB_R1,960,-2,958,6533074
XMSSMT-SHA2_20/4_256,PUB_R1,960,-1,959,5290371
XMSSMT-SHA2_20/4_256,PUB_R1,960,0,960,6557704
XMSSMT-SHA2_20/4_256,PUB_R1,960,1,961,6463815
XMSSMT-SHA2_20/4_256,PUB_R1,960,2,962,6633241
XMSSMT-SHA2_20/4_256,PUB_R1,960,3,963,9173167
XMSSMT-SHA2_20/4_256,PUB_R1,960,4,964,8975037
XMSSMT-SHA2_20/4_256,PUB_R1,992,-4,988,6585148
XMSSMT-SHA2_20/4_256,PUB_R1,992,-3,989,3940518
XMSSMT-SHA2_20/4_256,PUB_R1,992,-2,990,6275889
XMSSMT-SHA2_20/4_256,PUB_R1,992,-1,991,7790852
XMSSMT-SHA2_20/4_256,PUB_R1,992,0,992,6577797
XMSSMT-SHA2_20/4_256,PUB_R1,992,1,993,6622888
XMSSMT-SHA2_20/4_256,PUB_R1,992,2,994,6525944
XMSSMT-SHA2_20/4_256,PUB_R1,992,3,995,9306686
XMSSMT-SHA2_20/4_256,PUB_R1,992,4,996,9179481
XMSSMT-SHA2_20/4_256,PUB_R2,32,-4,28,10755518
XMSSMT-SHA2_20/4_256,PUB_R2,32,-3,29,8372889
XMSSMT-SHA2_20/4_256,PUB_R2,32,-2,30,10814425
XMSSMT-SHA2_20/4_256,PUB_R2,32,-1,31,9721500
XMSSMT-SHA2_20/4_256,PUB_R2,32,0,32,10692833
XMSSMT-SHA2_20/4_256,PUB_R2,32,1,33,8304149
XMSSMT-SHA2_20/4_256,PUB_R2,32,2,34,10864000
XMSSMT-SHA2_20/4_256,PUB_R2,32,3,35,8412519
XMSSMT-SHA2_20/4_256,PUB_R2,32,4,36,10756463
XMSSMT-SHA2_20/4_256,PUB_R2,64,-4,60,8462815
XMSSMT-SHA2_20/4_256,PUB_R2,64,-3,61,5838871
XMSSMT-SHA2_20/4_256,PUB_R2,64,-2,62,8229574
XMSSMT-SHA2_20/4_256,PUB_R2,64,-1,63,7194704
XMSSMT-SHA2_20/4_256,PUB_R2,64,0,64,8398870
XMSSMT-SHA2_20/4_256,PUB_R2,64,1,65,5980555
XMSSMT-SHA2_20/4_256,PUB_R2,64,2,66,8313463
XMSSMT-SHA2_20/4_256,PUB_R2,64,3,67,8235574
XMSSMT-SHA2_20/4_256,PUB_R2,64,4,68,8371241
XMSSMT-SHA2_20/4_256,PUB_R2,96,-4,92,8494445
XMSSMT-SHA2_20/4_256,PUB_R2,96,-3,93,5972481
XMSSMT-SHA2_20/4_256,PUB_R2,96,-2,94,8297629
XMSSMT-SHA2_20/4_256,PUB_R2,96,-1,95,6962389
XMSSMT-SHA2_20/4_256,PUB_R2,96,0,96,8346815
XMSSMT-SHA2_20/4_256,PUB_R2,96,1,97,5956148
XMSSMT-SHA2_20/4_256,PUB_R2,96,2,98,8359593
